fold,train_size,test_size,majority_accuracy,majority_macro_f1,majority_weighted_f1,tfidf_accuracy,tfidf_macro_f1,tfidf_weighted_f1,hybrid_accuracy,hybrid_macro_f1,hybrid_weighted_f1
1,106,54,0.2222222222222222,0.030303030303030304,0.0808080808080808,0.35185185185185186,0.2895135566188198,0.3385669561108158,0.48148148148148145,0.458935972763089,0.4234249074516889
2,107,53,0.22641509433962265,0.03076923076923077,0.08359941944847606,0.39622641509433965,0.3265873015873016,0.39083557951482484,0.49056603773584906,0.4184628237259816,0.457530619000331
3,107,53,0.22641509433962265,0.033566433566433566,0.08359941944847606,0.41509433962264153,0.3564495890582847,0.39166959646861205,0.49056603773584906,0.4863869531552458,0.4656290403874389
